question,rank,rrf_score,retrievers,doc_id,title,link,snippet,component_ranks,component_scores
Why are micro average precision recall and F1 equal in multiclass classification?,1,0.032787,"bm25, semantic",datascience:15989,Micro Average vs Macro average Performance in a Multiclass classification setting,https://datascience.stackexchange.com/questions/15989/micro-average-vs-macro-average-performance-in-a-multiclass-classification-settin,Micro Average vs Macro average Performance in a Multiclass classification setting Micro Average vs Macro average Performance in a Multiclass classification setting I am trying out...,bm25:1; semantic:1,bm25:48.493982; semantic:0.739459
Why are micro average precision recall and F1 equal in multiclass classification?,2,0.032258,"bm25, semantic",datascience:36817,Why is the F-measure preferred for classification tasks?,https://datascience.stackexchange.com/questions/36817/why-is-the-f-measure-preferred-for-classification-tasks,Why is the F-measure preferred for classification tasks? Why is the F-measure preferred for classification tasks? Why is the F-measure usually used for (supervised) classification...,bm25:2; semantic:2,bm25:30.747687; semantic:0.628729
Why are micro average precision recall and F1 equal in multiclass classification?,3,0.031746,"bm25, semantic",datascience:40900,What's the difference between Sklearn F1 score 'micro' and 'weighted' for a multi class classification problem?,https://datascience.stackexchange.com/questions/40900/whats-the-difference-between-sklearn-f1-score-micro-and-weighted-for-a-mult,What's the difference between Sklearn F1 score 'micro' and 'weighted' for a multi class classification problem? What's the difference between Sklearn F1 score 'micro' and 'weighted...,bm25:3; semantic:3,bm25:24.953232; semantic:0.609956
What is the difference between artificial intelligence and machine learning?,1,0.032522,"bm25, semantic",ai:35,What is the difference between artificial intelligence and machine learning?,https://ai.stackexchange.com/questions/35/what-is-the-difference-between-artificial-intelligence-and-machine-learning,What is the difference between artificial intelligence and machine learning? What is the difference between artificial intelligence and machine learning? These two terms seem to be...,bm25:2; semantic:1,bm25:18.972563; semantic:0.88591
What is the difference between artificial intelligence and machine learning?,2,0.032522,"bm25, semantic",datascience:19077,Difference between machine learning and artificial intelligence,https://datascience.stackexchange.com/questions/19077/difference-between-machine-learning-and-artificial-intelligence,Difference between machine learning and artificial intelligence Difference between machine learning and artificial intelligence Is there any difference between machine learning and...,bm25:1; semantic:2,bm25:22.033671; semantic:0.869088
What is the difference between artificial intelligence and machine learning?,3,0.030777,"bm25, semantic",ai:1847,What is the difference between artificial intelligence and cognitive science?,https://ai.stackexchange.com/questions/1847/what-is-the-difference-between-artificial-intelligence-and-cognitive-science,What is the difference between artificial intelligence and cognitive science? What is the difference between artificial intelligence and cognitive science? Sometimes I understand t...,bm25:6; semantic:4,bm25:15.113489; semantic:0.681209
What are deconvolutional layers in convolutional neural networks?,1,0.032787,"bm25, semantic",datascience:6107,What are deconvolutional layers?,https://datascience.stackexchange.com/questions/6107/what-are-deconvolutional-layers,"What are deconvolutional layers? What are deconvolutional layers? I recently read Fully Convolutional Networks for Semantic Segmentation by Jonathan Long, Evan Shelhamer, Trevor Da...",bm25:1; semantic:1,bm25:22.192062; semantic:0.704796
What are deconvolutional layers in convolutional neural networks?,2,0.031054,"bm25, semantic",datascience:15903,Why do convolutional neural networks work?,https://datascience.stackexchange.com/questions/15903/why-do-convolutional-neural-networks-work,Why do convolutional neural networks work? Why do convolutional neural networks work? I have often heard people saying that why convolutional neural networks are still poorly under...,bm25:2; semantic:7,bm25:17.607478; semantic:0.522697
What are deconvolutional layers in convolutional neural networks?,3,0.030303,"bm25, semantic",datascience:51470,"What are the differences between Convolutional1D, Convolutional2D, and Convolutional3D?",https://datascience.stackexchange.com/questions/51470/what-are-the-differences-between-convolutional1d-convolutional2d-and-convoluti,"What are the differences between Convolutional1D, Convolutional2D, and Convolutional3D? What are the differences between Convolutional1D, Convolutional2D, and Convolutional3D? I've...",bm25:6; semantic:6,bm25:12.541757; semantic:0.525495
How do I set class weights for imbalanced classes in Keras?,1,0.032787,"bm25, semantic",datascience:13490,How to set class weights for imbalanced classes in Keras?,https://datascience.stackexchange.com/questions/13490/how-to-set-class-weights-for-imbalanced-classes-in-keras,How to set class weights for imbalanced classes in Keras? How to set class weights for imbalanced classes in Keras? I know that there is a possibility in Keras with the class_weigh...,bm25:1; semantic:1,bm25:32.996294; semantic:0.846817
How do I set class weights for imbalanced classes in Keras?,2,0.032258,"bm25, semantic",datascience:44883,Deep network not able to learn imbalanced data beyond the dominant class,https://datascience.stackexchange.com/questions/44883/deep-network-not-able-to-learn-imbalanced-data-beyond-the-dominant-class,Deep network not able to learn imbalanced data beyond the dominant class Deep network not able to learn imbalanced data beyond the dominant class I have data with 5 output classes....,bm25:2; semantic:2,bm25:23.280822; semantic:0.696643
How do I set class weights for imbalanced classes in Keras?,3,0.031498,"bm25, semantic",datascience:48369,What loss function to use for imbalanced classes (using PyTorch)?,https://datascience.stackexchange.com/questions/48369/what-loss-function-to-use-for-imbalanced-classes-using-pytorch,What loss function to use for imbalanced classes (using PyTorch)? What loss function to use for imbalanced classes (using PyTorch)? I have a dataset with 3 classes with the followi...,bm25:4; semantic:3,bm25:17.74277; semantic:0.618499
What is the dying ReLU problem in neural networks?,1,0.032787,"bm25, semantic",datascience:5706,"What is the ""dying ReLU"" problem in neural networks?",https://datascience.stackexchange.com/questions/5706/what-is-the-dying-relu-problem-in-neural-networks,"What is the ""dying ReLU"" problem in neural networks? What is the ""dying ReLU"" problem in neural networks? Referring to the Stanford course notes on Convolutional Neural Networks fo...",bm25:1; semantic:1,bm25:24.127748; semantic:0.807607
What is the dying ReLU problem in neural networks?,2,0.032258,"bm25, semantic",datascience:18810,How to check for dead relu neurons,https://datascience.stackexchange.com/questions/18810/how-to-check-for-dead-relu-neurons,"How to check for dead relu neurons How to check for dead relu neurons Background: While fitting neural networks with relu activation, I found that sometimes the prediction becomes...",bm25:2; semantic:2,bm25:21.05369; semantic:0.637448
What is the dying ReLU problem in neural networks?,3,0.015873,semantic,ai:40576,Why use ReLU over Leaky ReLU?,https://ai.stackexchange.com/questions/40576/why-use-relu-over-leaky-relu,Title: Why use ReLU over Leaky ReLU? Body: From my understanding a leaky ReLU attempts to address issues of vanishing gradients and nonzero-centeredness by keeping neurons that fir...,semantic:3,semantic:0.593489
